procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 860240  89304 2712912    0    0 14518 24374 3158   33 11  5 83  0  0  0
 4  0      0 860240  89304 2712956    0    0     0     0 4192  475 100  0  0  0  0  0
 4  0      0 860240  89304 2712956    0    0     0     0 4625 1124 100  0  0  0  0  0
 4  0      0 860240  89304 2712956    0    0     0     0 4066  206 100  0  0  0  0  0
 4  0      0 860240  89304 2712956    0    0     0     0 4075  219 100  0  0  0  0  0
 4  0      0 860240  89304 2712956    0    0     0     0 4110  265 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0    28 4082  243 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0     0 4080  219 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0     0 4087  245 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0     0 4078  210 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0     0 4088  251 100  0  0  0  0  0
 4  0      0 860240  89312 2712956    0    0     0    76 4086  230 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0    12 4069  190 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0     0 4077  195 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0   528 4136  249 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0     0 4069  193 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0     0 4068  186 100  0  0  0  0  0
 4  0      0 860240  89320 2712956    0    0     0     0 4052  155 100  0  0  0  0  0
 0  0      0 863872  89328 2712960    0    0     0    44 1119  331 19  0 81  0  0  0
 0  0      0 863872  89328 2712960    0    0     0     0  184  157  0  0 99  0  0  0
 0  0      0 863872  89328 2712960    0    0     0     0  240  189  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 863872  89328 2712960    0    0     0     0  212  164  0  0 100  0  0  0
 0  0      0 863872  89328 2712960    0    0     0     0  255  201  0  0 99  0  0  0
 0  0      0 863632  89328 2712960    0    0     0     0 1867 2054  2  2 96  0  0  0
 0  0      0 861904  89336 2712960    0    0     0    20 2316 2389  4  3 93  0  0  0
 0  0      0 861904  89336 2713312    0    0     0     0  585  552  1  1 98  0  0  0
 0  0      0 861904  89336 2713312    0    0     0     0 1403 1237  1  2 97  0  0  0
 0  0      0 831788  89336 2717396    0    0     0     0 1914 1942  6  4 90  0  0  0
 0  0      0 831788  89336 2717396    0    0     0     0  545  641  2  0 98  0  0  0
 0  0      0 831788  89336 2717396    0    0     0     0  268  224  0  1 99  0  0  0
 0  0      0 823976  89344 2717396    0    0     0    20 1207 1601  2  1 97  0  0  0
 0  0      0 823976  89344 2717396    0    0     0     4 1108 1130  1  1 97  0  0  0
 0  0      0 823976  89344 2717396    0    0     0     0  271  251  0  1 99  0  0  0
 0  0      0 823976  89344 2717396    0    0     0     0  317  294  1  0 99  0  0  0
 0  0      0 823976  89344 2717396    0    0     0     0  264  222  0  0 99  0  0  0
